notion_id;capacite_id;role
MAT_OPERATIONS;ITM_MAT_C4_01_01_03;PRINCIPALE
MAT_RELATIFS;ITM_MAT_C4_01_02_01;PRINCIPALE
MAT_RELATIFS;ITM_MAT_C4_01_02_02;PRINCIPALE
MAT_RELATIFS;ITM_MAT_C4_01_02_03;PRINCIPALE
MAT_NOMBRES_RATIONNELS;ITM_MAT_C4_01_03_01;PRINCIPALE
MAT_FRACTION_QTE;ITM_MAT_C4_01_03_02;PRINCIPALE
MAT_NOMBRES_RATIONNELS;ITM_MAT_C4_01_03_02;PRINCIPALE
MAT_PUISSANCES;ITM_MAT_C4_01_04_01;PRINCIPALE
MAT_PUISSANCES;ITM_MAT_C4_01_04_02;PRINCIPALE
MAT_CALC_LITT;ITM_MAT_C4_01_05_01;PRINCIPALE
MAT_CALC_LITT;ITM_MAT_C4_01_05_02;PRINCIPALE
MAT_CALC_LITT;ITM_MAT_C4_01_05_03;PRINCIPALE
MAT_REPERAGE_SUR_UNE_DROITE_ET_DANS_LE_PLAN;ITM_MAT_C4_02_01_01;PRINCIPALE
MAT_REPERAGE_SUR_UNE_DROITE_ET_DANS_LE_PLAN;ITM_MAT_C4_02_01_02;PRINCIPALE
MAT_REPRESENTATION_DE_L_ESPACE;ITM_MAT_C4_02_02_01;PRINCIPALE
MAT_REPRESENTATION_DE_L_ESPACE;ITM_MAT_C4_02_02_02;PRINCIPALE
MAT_TRANSFORMATIONS;ITM_MAT_C4_02_03_01;PRINCIPALE
MAT_TRANSFORMATIONS;ITM_MAT_C4_02_03_02;PRINCIPALE
MAT_ANGLES;ITM_MAT_C4_02_04_01;PRINCIPALE
MAT_TRIANGLES;ITM_MAT_C4_02_05_01;PRINCIPALE
MAT_TRIANGLES;ITM_MAT_C4_02_05_02;PRINCIPALE
MAT_PARALLELOGRAMMES;ITM_MAT_C4_02_06_01;PRINCIPALE
MAT_STATISTIQUES;ITM_MAT_C4_03_01_01;PRINCIPALE
MAT_STATISTIQUES;ITM_MAT_C4_03_01_02;PRINCIPALE
MAT_PROBABILITES;ITM_MAT_C4_03_02_01;PRINCIPALE
MAT_PROBABILITES;ITM_MAT_C4_03_02_02;PRINCIPALE
MAT_PROP;ITM_MAT_C4_04_01_01;PRINCIPALE
MAT_PROP;ITM_MAT_C4_04_01_02;PRINCIPALE
MAT_FONCTIONS;ITM_MAT_C4_04_02_01;PRINCIPALE
MAT_FONCTIONS;ITM_MAT_C4_04_02_02;PRINCIPALE
MAT_ALGORITHMIQUE_ET_PROGRAMMATION;ITM_MAT_C4_05_01_01;PRINCIPALE
MAT_ALGORITHMIQUE_ET_PROGRAMMATION;ITM_MAT_C4_05_01_02;PRINCIPALE
MAT_EVOLUTIONS_ET_VARIATIONS;ITM_MAT_SPEC_1G_2026_05_01;PRINCIPALE
MAT_EVOLUTIONS_ET_VARIATIONS;ITM_MAT_SPEC_1G_2026_05_02;PRINCIPALE
MAT_EVOLUTIONS_ET_VARIATIONS;ITM_MAT_SPEC_1G_2026_05_03;PRINCIPALE
MAT_CALCUL_NUMERIQUE_ET_ALGEBRIQUE;ITM_MAT_SPEC_1G_2026_06_01;PRINCIPALE
MAT_CALCUL_NUMERIQUE_ET_ALGEBRIQUE;ITM_MAT_SPEC_1G_2026_06_02;PRINCIPALE
MAT_CALCUL_NUMERIQUE_ET_ALGEBRIQUE;ITM_MAT_SPEC_1G_2026_06_03;PRINCIPALE
MAT_FONCTIONS_ET_REPRESENTATIONS;ITM_MAT_SPEC_1G_2026_07_01;PRINCIPALE
MAT_FONCTIONS_ET_REPRESENTATIONS;ITM_MAT_SPEC_1G_2026_07_02;PRINCIPALE
MAT_FONCTIONS_ET_REPRESENTATIONS;ITM_MAT_SPEC_1G_2026_07_03;PRINCIPALE
MAT_FONCTIONS_ET_REPRESENTATIONS;ITM_MAT_SPEC_1G_2026_07_04;PRINCIPALE
MAT_SUITES_NUMERIQUES_MODELES_DISCRETS;ITM_MAT_SPEC_1G_2026_11_01;PRINCIPALE
MAT_SUITES_NUMERIQUES_MODELES_DISCRETS;ITM_MAT_SPEC_1G_2026_11_02;PRINCIPALE
MAT_SUITES_NUMERIQUES_MODELES_DISCRETS;ITM_MAT_SPEC_1G_2026_11_03;PRINCIPALE
