modele_id;capacite_id
C3_ITM_MATOLD_3E_ATT_STAT_001;ITM_MATOLD_3E_ATT_STAT
C3_TM_MATOLD_3E_ATT_PROBA_001;ITM_MATOLD_3E_ATT_PROBA
C3_TOLD_3E_ATT_PROPORTION_001;ITM_MATOLD_3E_ATT_PROPORTION
C3_ATOLD_3E_ATT_FONCTIONS_001;ITM_MATOLD_3E_ATT_FONCTIONS
C3_3E_ATT_LINEAIRE_AFFINE_001;ITM_MATOLD_3E_ATT_LINEAIRE_AFFINE
C3_ATOLD_3E_ATT_GRANDEURS_001;ITM_MATOLD_3E_ATT_GRANDEURS
C3_TOLD_3E_ATT_HOMOTHETIE_001;ITM_MATOLD_3E_ATT_HOMOTHETIE
C3_M_MATOLD_3E_ATT_ESPACE_001;ITM_MATOLD_3E_ATT_ESPACE
C3_M_MATOLD_3E_ATT_THALES_001;ITM_MATOLD_3E_ATT_THALES
C3_TM_MATOLD_3E_ATT_TRIGO_001;ITM_MATOLD_3E_ATT_TRIGO
C3__MATOLD_3E_ATT_TRANSFO_001;ITM_MATOLD_3E_ATT_TRANSFO
C3_D_3E_ATT_DEMONSTRATION_001;ITM_MATOLD_3E_ATT_DEMONSTRATION
C3_ITM_MATOLD_3E_ATT_ALGO_001;ITM_MATOLD_3E_ATT_ALGO
