horaire_id;niveau_id;enseignement_id;volume;unite;statut;source_id;version_id;serie_id;portee
HOR0142;1T;HG_LYCEE;1.5;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;STI2D;GRILLE_SERIE
HOR0143;1T;LVA_LVB_TECH;4;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;STI2D;GRILLE_SERIE
HOR0144;1T;EPS;2;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;STI2D;GRILLE_SERIE
HOR0145;1T;MATH_SPEC_TECH;3;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;STI2D;GRILLE_SERIE
HOR0146;1T;EMC_LYCEE;18;HEURE_ANNEE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;STI2D;GRILLE_SERIE
HOR0147;TT;PHILO;2;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;STI2D;GRILLE_SERIE
HOR0148;TT;HG_LYCEE;1.5;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;STI2D;GRILLE_SERIE
HOR0149;TT;LVA_LVB_TECH;4;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;STI2D;GRILLE_SERIE
HOR0150;TT;EPS;2;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;STI2D;GRILLE_SERIE
HOR0151;TT;MATH_SPEC_TECH;3;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;STI2D;GRILLE_SERIE
HOR0152;TT;EMC_LYCEE;18;HEURE_ANNEE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;STI2D;GRILLE_SERIE
HOR0153;1T;FRA;3;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;STMG;GRILLE_SERIE
HOR0154;1T;HG_LYCEE;1.5;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;STMG;GRILLE_SERIE
HOR0155;1T;LVA_LVB_TECH;4;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;STMG;GRILLE_SERIE
HOR0156;1T;EPS;2;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;STMG;GRILLE_SERIE
HOR0157;1T;MATH_SPEC_TECH;3;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;STMG;GRILLE_SERIE
HOR0158;1T;EMC_LYCEE;18;HEURE_ANNEE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;STMG;GRILLE_SERIE
HOR0159;TT;PHILO;2;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;STMG;GRILLE_SERIE
HOR0160;TT;HG_LYCEE;1.5;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;STMG;GRILLE_SERIE
HOR0161;TT;LVA_LVB_TECH;4;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;STMG;GRILLE_SERIE
HOR0162;TT;EPS;2;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;STMG;GRILLE_SERIE
HOR0163;TT;MATH_SPEC_TECH;3;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;STMG;GRILLE_SERIE
HOR0164;TT;EMC_LYCEE;18;HEURE_ANNEE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;STMG;GRILLE_SERIE
HOR0165;1T;FRA;3;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;S2TMD;GRILLE_SERIE
HOR0166;1T;HG_LYCEE;1.5;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;S2TMD;GRILLE_SERIE
HOR0167;1T;LVA_LVB_TECH;4;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;S2TMD;GRILLE_SERIE
HOR0168;1T;EPS;2;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;S2TMD;GRILLE_SERIE
HOR0169;1T;MATH_SPEC_TECH;3;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;S2TMD;GRILLE_SERIE
HOR0170;1T;EMC_LYCEE;18;HEURE_ANNEE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;S2TMD;GRILLE_SERIE
HOR0171;TT;PHILO;2;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;S2TMD;GRILLE_SERIE
HOR0172;TT;HG_LYCEE;1.5;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;S2TMD;GRILLE_SERIE
HOR0173;TT;LVA_LVB_TECH;4;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;S2TMD;GRILLE_SERIE
HOR0174;TT;EPS;2;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;S2TMD;GRILLE_SERIE
