offre_id;niveau_id;serie_id;enseignement_id;statut;version_id
OFF_1T_S2TMD_EMC_LYCEE;1T;S2TMD;EMC_LYCEE;OBLIGATOIRE;2026_2027
OFF_TT_S2TMD_PHILO;TT;S2TMD;PHILO;OBLIGATOIRE;2027_2028
OFF_TT_S2TMD_HG_LYCEE;TT;S2TMD;HG_LYCEE;OBLIGATOIRE;2027_2028
OFF_TT_S2TMD_LVA_LVB_TECH;TT;S2TMD;LVA_LVB_TECH;OBLIGATOIRE;2027_2028
OFF_TT_S2TMD_EPS;TT;S2TMD;EPS;OBLIGATOIRE;2027_2028
OFF_TT_S2TMD_MATH_SPEC_TECH;TT;S2TMD;MATH_SPEC_TECH;OBLIGATOIRE;2027_2028
OFF_TT_S2TMD_EMC_LYCEE;TT;S2TMD;EMC_LYCEE;OBLIGATOIRE;2027_2028
OFF_TG_PHILO_CURR;TG;G;PHILO;OBLIGATOIRE;2026_2027
OFF_TG_HG_LYCEE_CURR;TG;G;HG_LYCEE;OBLIGATOIRE;2026_2027
OFF_TG_LVA_LVB_CURR;TG;G;LVA_LVB;OBLIGATOIRE;2026_2027
OFF_TG_ENS_SCI_CURR;TG;G;ENS_SCI;OBLIGATOIRE;2026_2027
OFF_TG_EPS_CURR;TG;G;EPS;OBLIGATOIRE;2026_2027
OFF_TG_EMC_LYCEE_CURR;TG;G;EMC_LYCEE;OBLIGATOIRE;2026_2027
OFF_TG_ARTS_SPEC_CURR;TG;G;ARTS_SPEC;SPECIALITE;2026_2027
OFF_TG_EPPCS_CURR;TG;G;EPPCS;SPECIALITE;2026_2027
OFF_TG_HGGSP_CURR;TG;G;HGGSP;SPECIALITE;2026_2027
OFF_TG_HLP_CURR;TG;G;HLP;SPECIALITE;2026_2027
OFF_TG_LLCER_CURR;TG;G;LLCER;SPECIALITE;2026_2027
OFF_TG_LLCA_CURR;TG;G;LLCA;SPECIALITE;2026_2027
OFF_TG_MATH_SPEC_CURR;TG;G;MATH_SPEC;SPECIALITE;2026_2027
OFF_TG_NSI_CURR;TG;G;NSI;SPECIALITE;2026_2027
OFF_TG_PC_SPEC_CURR;TG;G;PC_SPEC;SPECIALITE;2026_2027
OFF_TG_SVT_SPEC_CURR;TG;G;SVT_SPEC;SPECIALITE;2026_2027
OFF_TG_SI_CURR;TG;G;SI;SPECIALITE;2026_2027
OFF_TG_SES_SPEC_CURR;TG;G;SES_SPEC;SPECIALITE;2026_2027
OFF_TG_BIO_ECO_CURR;TG;G;BIO_ECO;SPECIALITE;2026_2027
OFF_TT_ST2S_PHILO_CURR;TT;ST2S;PHILO;OBLIGATOIRE;2026_2027
OFF_TT_ST2S_HG_LYCEE_CURR;TT;ST2S;HG_LYCEE;OBLIGATOIRE;2026_2027
OFF_TT_ST2S_LVA_LVB_TECH_CURR;TT;ST2S;LVA_LVB_TECH;OBLIGATOIRE;2026_2027
OFF_TT_ST2S_EPS_CURR;TT;ST2S;EPS;OBLIGATOIRE;2026_2027
